No_,"Manufacturer ID",Description,Price,"Retail Price Incl_ GST",AvailableQty,Rocklea,Sydney,"Net Weight","Brand Code","Product Group Code","Minor Category 1","Minor Category 2","Vendor Name","Vendor URL","Item URL",Warranty,Dimension,"Item Description",Image
II359730,920-011753,"LOG KBD K380S-TONAL-GRAPHITE",50.00,89.95,2,2,0,0,LOG,KBD,KBD-WIRELESS,KBD-SINGLE,Logitech,www.hp.com,,"1 Year ",,"Logitech 920-011753, Pebble Keys 2 K380S Wireless Keyboard, Bluetooth, Tonal Graphite, 1 Year Warranty",https://images.auscomp.au/uploads/images/II359730/thumbs/250/0920-011753.jpg
II359734,920-012281,"LOG KBD WAVE-KEYS-ERGO-WLS-GRAPHITE",90.00,149.95,1,1,0,0,LOG,KBD,KBD-WIRELESS,KBD-SINGLE,logitech,https://www.logitech.com,https://www.logitech.com/en-in/products/keyboards/wave-keys-ergonomic-wireless.920-012281.html,"1 Year",,"Logitech 920-012281, Wave keys Wireless Ergonomic Keyboard, Bluetooth, USB, Graphite, 1 Year Warranty",https://images.auscomp.au/uploads/images/II359734/full/920-012281.jpg
II359752,910-006632,"LOG MSE PRO-X-SUPERLIGHT-2-WLS-BLACK",163.00,299.95,2,2,0,0,LOG,MSE,MSE-WIRELESS,MSE-GAMING,Logitech,https://www.logitechg.com,https://www.logitechg.com/en-in/products/gaming-mice/pro-x2-superlight-wireless-mouse.910-006632.html," 2 Year",,"Logitech 910-006632, G Pro X SuperLight 2 LightSpeed Gaming Mouse, USB, Black, 2 Year Warranty",https://images.auscomp.au/uploads/images/II359752/full/1700466695.jpg
II359764,63A1GAR1AU,"LEN LCD 27-63A1GAR1AU",435.00,680.91,2,2,0,0,LEN,LCD,LCD-27,LCD-MONITORS,Lenovo,www.lenovo.com,,"3 Year ",,"Lenovo 63A1GAR1AU, ThinkVision P27H-30, 27"" IPS WLED, 2560x1440, 16:9, 4ms, 1xHDMI, 1xDP, 2xDP Out, 7xUSB 3.2, 1x RJ45, Adjustable Height, Tilt, Swivel, Pivot, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II359764/full/0/01074237759.jpg
II359771,GM31,"MSI MSE CLUTCH-GM31",56.00,57.2,4,4,0,0,MSI,MSE,MSE-WIRED,MSE-GAMING,MSI,https://www.msi.com,https://www.msi.com/Gaming-Gear/CLUTCH-GM31-LIGHTWEIGHT,"1 Year",,"MSI GM31, Clutch GM31 LightWeight RGB Gaming Mouse, Wired, 12000 dpi, 6 Buttons, USB, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II359771/full/1700550074.jpg
II359821,UXG-LITE,"UBI LAN UXG-LITE",87.75,126.36,4,4,0,0,UBI,LAN,LAN-ROUTERS,#,Ubiquiti,https://store.ui.com,https://store.ui.com/us/en/products/uxg-lite,"2 Year ",,"Ubiquiti UXG-LITE, Gateway Lite Router, 1xGbE WAN Port, 1xGbE LAN Port, 2 Year Warranty ",https://images.auscomp.au/uploads/images/II359821/full/1700811446.jpg
II359822,SM-X216BZAEATS,"SAM TAB GALAXY-A9+-SM-X216BZAEATS",511.00,571.82,3,3,0,0,SAM,TAB,TABLET,#,Samsung,www.samsung.com,,"2 Year ",,"Samsung SM-X216BZAEATS, Galaxy Tab A9+ , 11"" FHD+ Touch Screen, Snapdragon 695, 8GB RAM, 128GB Storage, 8MP Front Camera, 13MP Rear Camera, S Pen, LTE-5G, Wireless AX+Bluetooth, Graphite, 2 Year Warranty",https://images.auscomp.au/uploads/images/II359822/full/0/01743145758.jpg
II359824,90048385,"CRT HDS CHAT-USB-BLACK",48.00,79,10,10,0,0,CRT,HDS,HEADSET-WIRED,HEADSET-STANDARD,Creative,https://www.creative.com,https://en.creative.com/p/headphones-headsets/creative-chat-usb,"1 Year",,"Creative 90048385, Chat USB Headset, Stereo, On-ear, Wired, Cable Length: 2.1m, USB-C, Black, 1 Year Warranty",https://images.auscomp.au/uploads/images/II359824/full/large90048385.jpg
II359871,ER706W-4G,"TPL LAN ER706W-4G",429.00,499,1,1,0,0,TPL,LAN,LAN-ROUTERS,#,TP-link,https://www.tp-link.com,https://www.tp-link.com/au/business-networking/omada-router-wifi-router/er706w-4g/#specifications,"3 Year",,"TP-Link ER706W-4G, Omada 4G+ Cat6 AX3000 Gigabit VPN Router, Wireless AX, 1xGbE WAN Port, 4xGbE LAN/WAN Port, 1xGbE SFP Port, MU-MIMO, OFDMA, 3 Year Warranty",https://images.auscomp.au/uploads/images/II359871/full/1701235069.jpg
II359874,CL-W361-PL12SW-A,"THM FAN 240MM-TH240-V2-ARGB-SYNC",122.00,149,8,8,0,0,THM,FAN,CPU-LIQUID-COOLER,FAN-120MM,Thermaltake,https://www.thermaltake.com,https://www.thermaltake.com/th240-v2-argb-sync-all-in-one-liquid-cooler.html#additional,"2 Year",,"Thermaltake CL-W361-PL12SW-A, TH240 V2 ARGB Sync AIO Liquid CPU Cooler, Size: 2x120mm Fan, Socket: Intel LGA 2066/2011/1700/1200/1156/1155/1151/1150, AMD AM5/AM4/AM3+/AM3/AM2+/AM2, Black, 2 Year Warranty",https://images.auscomp.au/uploads/images/II359874/full/1701238911.jpg
II359944,DTMAXA/256GB,"KNG FLS USB-256GB-DTMAXA/256GB",49.50,71.5,4,4,0,0,KNG,FLS,FLS-USB,FLS-256,Kingston,https://www.kingston.com,https://www.kingston.com/en/usb-flash-drives/datatraveler-max,"5 Year ",,"Kingston DTMAXA/256GB, DataTraveler Max, 256GB, USB-A 3.2, Read Speed: Up to 1000MB/s, Write speed: Up to 900MB/s, 5 Year  Warranty",https://images.auscomp.au/uploads/images/II359944/full/1701763115.jpg
II359960,PSUSCB30-401-BG/WB,"ANT CAA PSU-SLEEVED-EXTENSION-CABLE-KIT-V2",33.00,80.3,4,4,0,0,ANT,CAA,#,#,Antec,https://www.antec.com,https://www.antec.com/product/psu/psu-sleeved-extension-cable-kit-blue-grey,,,"Antec PSUSCB30-401-BG/WB, Sleeved Extension Cable Kit V2, 24PIN ATX, 4+4 EPS, 8PIN PCI-E, 6PIN PCI-E, Blue/White/Black, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II359960/full/1701844391.jpg
II218548,SIPPWRV5V.6A-AU,"YEA VOI IP-PHONE-0.6A-POWER-ADAPTER",10.00,16.5,5,5,0,0,YEA,VOI,VOIP-ACC,,Yealink,https://www.yealink.com/,,,,"Yealink SIPPWRV5V.6A-AU, AU Power Adapter for Yealink SIP Phones, 5V,  600mA, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II218548/full/YL20027.jpg
II359989,SM-X210NZAAXSA,"SAM TAB GALAXY-A9+-SM-X210NZAAXSA",307.25,344.55,2,2,0,0,SAM,TAB,TABLET,#,Samsung,www.samsung.com,,"2 Year ",,"Samsung SM-X210NZAAXSA, Galaxy Tab A9+, 11"" WUXGA, 4GB RAM, 64GB Storage, 5MP Front Camera, 8MP Rear Camera, Wireless AC+Bluetooth, Graphite, 2 Year Warranty",https://images.auscomp.au/uploads/images/II359989/thumbs/250/01078187489.jpg
II360003,NU302,"SMP CNV USB3.0-RJ45-ADAPTER",17.00,29,4,4,0,0,SMP,CNV,CNV-USB,#,Simplecom,https://www.simplecom.com.au,https://www.simplecom.com.au/simplecom-nu302-superspeed-usb-3-0-to-rj45-gigabit-1000mbps-ethernet-network-adapter.html,,,"Simplecom NU302, USB3.0 to RJ-45 Converter, Male to Female, Cable Length: 13cm, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360003/full/1702020724.jpg
II360034,1P3K6AA,"HPL NAD ADAPTER-65W-USB-C-LC",29.50,39,100+,50+,50+,0,HPL,NAD,NAD-65W,#,HPL,www.hp.com,,,,"HP 1P3K6AA, 65W USB-C LC AC Adapter, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360034/full/0/0ec9e6185a075c7d801461c06c1b4a160.jpg
II360035,BX8071514700F,"INT CPU I7-14700F",435.00,662.66,4,4,0,0,INT,CPU,SKT-1700-12GEN,#,Intel,www.intel.com,,"3 Year",,"Intel BX8071514700F, Core i7-14700F, LGA 1700 Socket, 20 Cores, 28 Threads, Base: 3.4GHz, Turbo: 5.4GHz, Cache: 33MB, TDP: 219W, 3 Year Warranty*Discrete Graphics Required *",https://images.auscomp.au/uploads/images/II360035/full/1704771265.jpg
II360036,BX8071514500,"INT CPU I5-14500",360.00,467,3,3,0,0,INT,CPU,SKT-1700-12GEN,#,Intel,www.intel.com,,"3 Year ",,"Intel BX8071514500, Core i5-14500, LGA 1700 Socket, 14 Cores, 20 Threads, Base: 2.6GHz, Turbo: 5.0GHz, Cache: 24MB, TDP: 154W, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360036/full/0/01704778965.jpg
II360037,BX8071514400,"INT CPU I5-14400",249.00,356.4,20+,20,10,0,INT,CPU,SKT-1700-12GEN,#,Intel,www.intel.com,,"3 Year ",,"Intel BX8071514400, Core i5-14400, LGA 1700 Socket, 10 Cores, 16 Threads, Turbo: 4.7GHz, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360037/full/1704778885.jpg
II360038,BX8071514400F,"INT CPU I5-14400F",202.50,309,20+,20+,0,0,INT,CPU,SKT-1700-12GEN,#,Intel,www.intel.com,,"3 Year",,"Intel BX8071514400F, Core i5-14400F, LGA 1700 Socket, 10 Cores, 16 Threads, Turbo: 4.7GHz, Cache: 36MB, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360038/full/1704778791.jpg
II360042,BX8071514100F,"INT CPU I3-14100F",127.00,160.38,14,14,0,0,INT,CPU,SKT-1700-12GEN,#,Intel,www.intel.com,,"3 Year ",,"Intel BX8071514100F, Core i3-14100F, LGA 1700 Socket, 4 Cores, Turbo: 4.7GHz, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360042/full/1704778642.jpg
II360074,LNMPLAY001T-RNNNG,"LXR SSD 1TB-LNMPLAY001T-RNNNG-M2",99.00,199,14,14,0,0,LXR,SSD,SSD-M2,SSD-1TB,Lexar,www.lexar.com,,"5 Year ",,"Lexar LNMPLAY001T-RNNNG, Play, 1TB, M.2 2230 NVMe, PCIe4.0, 600TBW, Read Speed: 5200MB/s, Write Speed: 4700MB/s, 5 Year Warranty",https://images.auscomp.au/uploads/images/II360074/full/1702625534.jpg
II78417,UE379E,"HPL CWA 3YR-NBD-ONSITE-HW-SUPPORT-UE379E",32.50,47.19,1,1,0,0,HPL,CWA,,,"Hewlett Packard",www.hp.com,,"1 Year ",,"HP UE379E, Electronic Care Pack Next Business Day Hardware Support-Extended Service Agreement-3 Years-Onsite",https://images.auscomp.au/uploads/images/II78417/thumbs/250/01020947880.jpg
II360147,DE-EE-20,"BLA SOF DRIVE-ERASER-DE-EE-20",20.00,28.6,100+,100+,0,0,BLA,SOF,,,Blancco,https://www.blancco.com,https://www.blancco.com/products/drive-eraser/,,,"Blancco DE-EE-20, Drive Eraser-Enterprise Edition-License",https://images.auscomp.au/uploads/images/II360147/full/1703215520.jpg
II360310,VL-DD81,"VOL CAB DISPLAY-V1.4-M-M-1M",11.00,19,5,5,0,0,VOL,CAB,CAB-OTHER,#,Volans,https://www.volans.com,https://www.volans.com.au/product/vl-dd81/,,,"Volans VL-DD81, Ultra 8K DisplayPort to DisplayPort Cable, Male to Male, Length: 1m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360310/full/1704176155.jpg
II360312,VL-DD82,"VOL CAB DISPLAY-V1.4-M-M-2M",16.00,25,10,10,0,0,VOL,CAB,CAB-OTHER,#,Volans,https://www.volans.com,https://www.volans.com.au/product/vl-dd82/,,,"Volans VL-DD82, Ultra 8K DisplayPort to DisplayPort Cable, Male to Male, Length: 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360312/full/1704177210.jpg
II360313,VL-DD83,"VOL CAB DISPLAY-V1.4-M-M-3M",19.00,29,15,15,0,0,VOL,CAB,CAB-OTHER,#,Volans,https://www.volans.com,https://www.volans.com.au/?s=VL-DD83,,,"Volans VL-DD83, Ultra 8K DisplayPort to DisplayPort Cable, Male to Male, Length: 3m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360313/full/1704177417.jpg
II360314,VL-HH81,"VOL CAB HDMI-V2.1-M-M-1M",12.50,19,14,14,0,0,VOL,CAB,CAB-HDMI,#,Volans,https://www.volans.com.au,https://www.volans.com.au/product/vl-hh81/,,,"Volans VL-HH81, Ultra 8K HDMI to HDMI Cable, Male to Male, Length: 1m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360314/full/1704180023.jpg
II360315,VL-HH82,"VOL CAB HDMI-V2.1-M-M-2M",16.00,25,6,6,0,0,VOL,CAB,CAB-HDMI,#,Volans,https://www.volans.com.au,https://www.volans.com.au/product/vl-hh82/,,,"Volans VL-HH82, Ultra 8K HDMI to HDMI Cable, Male to Male, Length: 2m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360315/full/1704180251.jpg
II360316,VL-HH83,"VOL CAB HDMI-V2.1-M-M-3M",18.50,29,16,16,0,0,VOL,CAB,CAB-HDMI,#,Volans,https://www.volans.com.au,https://www.volans.com.au/product/vl-hh83/,,,"Volans VL-HH83, Ultra 8K HDMI to HDMI Cable, Male to Male, Length: 3m, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360316/full/1704180357.jpg
II360369,"ARCHER TX20U NANO","TPL LAN ARCHER-TX20U-NANO",35.00,42,3,3,0,0,TPL,LAN,LAN-USB-ADAPTORS,#,TP-link,https://www.tp-link.com,https://www.tp-link.com/au/home-networking/usb-adapter/archer-tx20u-nano/,"3 Year ",,"TP-Link ARCHER TX20U NANO, AX1800 Nano Wi-Fi 6 Wireless USB Adapter, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II360369/full/1704263299.jpg
II360465,MFC-L2820DW,"BRO PRI MFC-L2820DW",228.50,309,9,8,1,0,BRO,PRI,PRI-MFN-LASER,PRI-MONO,Brother,https://www.brother.com.au,https://www.brother.com.au/en/products/all-printers/printers/mfc-l2820dw,"1 Year",,"Brother MFC-L2820DW, Compact Monochrome Laser Printer, Multifunction, Mono, Print/Copy/Scan, Pages Per Minute: 32, Wireless/Ethernet/USB, 1 Year RTB Warranty	",https://images.auscomp.au/uploads/images/II360465/full/capture.jpg
II360484,MZ-V9P1T0CW,"SAM SSD 1TB-MZ-V9P1T0CW-M2",181.00,217.27,12,12,0,0,SAM,SSD,SSD-M2,SSD-1TB,Samsung,https://www.samsung.com,,"5 Year ",,"Samsung MZ-V9P1T0CW, 990 Pro with Heatsink, 1TB, M.2 NVMe, PCIe4.0, Read Speed: Up to 7450MB/s, Write Speed: Up to 6900MB/s, 5 Year Warranty",https://images.auscomp.au/uploads/images/II360484/thumbs/250/0MZ-V9P1T0CW.jpg
II360493,MZ-V9P2T0CW,"SAM SSD 2TB-MZ-V9P2T0CW-M2",274.00,326.36,10,10,0,0,SAM,SSD,SSD-M2,SSD-2TB,Samsung,https://www.samsung.com,https://www.samsung.com/us/computing/memory-storage/solid-state-drives/990-pro-w-heatsink-pcie-4-0-nvme-ssd-2tb-mz-v9p2t0cw/,"5 Year ",,"Samsung MZ-V9P2T0CW, 990 Pro with Heatsink, 2TB, M.2 NVMe, PCIe4.0, Read Speed: Up to 7450MB/s, Write Speed: Up to 6900MB/s, 5 Year Warranty",https://images.auscomp.au/uploads/images/II360493/full/1704944404.jpg
II360495,MZ-V9P4T0BW,"SAM SSD 4TB-MZ-V9P4T0BW-M2",468.00,761.2,11,11,0,0,SAM,SSD,SSD-M2,SSD-4TB,Samsung,https://www.samsung.com,,"5 Year ",,"Samsung MZ-V9P4T0BW, 990 Pro, 4TB, M.2 NVMe, PCIe4.0, Read Speed: Up to 7450MB/s, Write Speed: Up to 6900MB/s, 5 Year Warranty",https://images.auscomp.au/uploads/images/II360495/full/1704943973.jpg
II360501,R-DM9-GY015C-G,"DPC FAN DM9-THERMAL-PASTE",7.50,19,2,2,0,0,DPC,FAN,PASTE,#,,https://www.deepcool.com,https://www.deepcool.com/products/Accessories/ThermalPaste/DM9-Professional-Grade-Thermal-Paste/2022/16687.shtml,,,"DeepCool R-DM9-GY015C-G, DM9 Professional Grade Thermal Paste, 1.5g, Gray, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360501/full/1704939563.jpg
II360513,VL-UCM2-U4,"VOL ENC M.2-ALUM-USB4-C-VL-UCM2-U4",104.00,162.31,4,4,0,0,VOL,ENC,ENC-OTHER,ENC-M2,Volans,https://www.volans.com.au,https://www.volans.com.au/product/vl-ucm2-u4/,"1 Year ",," Volans VL-UCM2-U4, Aluminium NVMe M.2 SSD to USB4.0 Enclosure, USB-C/USB-A to USB-C Cable, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360513/full/1704959019.jpg
II360528,POE380S,"TPL LAN POE380S",101.00,108.18,1,1,0,0,TPL,LAN,LAN-ACCESSORY,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/sg/business-networking/omada-accessory-poe-adapter/poe380s/#highlights,"1 Year ",,"TP-Link POE380S, Omada PoE++ Injector, 2xRJ-45 Port, 90W, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360528/full/1705045378.jpg
II360534,"ARCHER T600UB NANO","TPL LAN ARCHER-T600UB-NANO",28.00,49,2,2,0,0,TPL,LAN,LAN-USB-ADAPTORS,#,TP-Link,https://www.tp-link.com/,https://www.tp-link.com/au/home-networking/usb-adapter/archer-t600ub-nano/,"3 Year ",,"TP-Link ARCHER T600UB NANO, AC600 Nano Wi-Fi Bluetooth USB Adapter, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II360534/full/1705301625.jpg
II360532,"ARCHER TXE70UH","TPL LAN ARCHER-TXE70UH",84.00,109,4,4,0,0,TPL,LAN,LAN-USB-ADAPTORS,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/au/home-networking/high-gain-adapter/archer-txe70uh/,"3 Year ",,"TP-Link ARCHER TXE70UH, AXE5400 Wi-Fi 6E High Gain Wireless USB Adapter, USB3.0, Wireless AX, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II360532/full/0/01705301001.jpg
II360533,"ARCHER TX50UH","TPL LAN ARCHER-TX50UH",63.00,67.27,3,3,0,0,TPL,LAN,LAN-USB-ADAPTORS,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/au/home-networking/high-gain-adapter/archer-tx50uh/,"3 Year ",,"TP-Link Archer TX50UH, AX3000 Wfi 6 High Gain Wireless USB Adapter, OFDMA, MU-MIMO, USB3.0, Wireless AX, 1 Year Warranty",https://images.auscomp.au/uploads/images/II360533/full/1705301544.jpg
II360560,"EAP625-OUTDOOR HD","TPL LAN EAP625-OUTDOOR-HD",256.00,299,3,3,0,0,TPL,LAN,LAN-ROUTERS,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/au/business-networking/omada-wifi-outdoor/eap625-outdoor-hd/,"3 Year ",,"TP-Link EAP625-OUTDOOR HD, AX1800 Indoor/Outdoor Wi-Fi 6 Access Point, 1xGbE Port, Wireless AX, OFDMA, OMADA, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II360560/full/1705387261.jpg
II360561,"VIGI C540-4G-4MM","TPL SUR VIGI-C540-4G-4MM",153.00,189,1,1,0,0,TPL,SUR,IPCAM,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/au/business-networking/vigi-network-camera/vigi-c540-4g/,"3 Year ",,"TP-Link VIGI C540-4G-4MM, VIGI Outdoor Full-Color 4G Pan Tilt Network Camera, 4MP, H.265+, 30m IR, Built-in Microphone, IP66, LTE-4G, 1 Camera System, 3 Year Warranty ",https://images.auscomp.au/uploads/images/II360561/full/1705387476.jpg
II360595,LD5S16G56C46ST-BGS,"LXR MEM 5-NB-16GB-LD5S16G56C46ST-BGS",65.00,89,2,2,0,0,LXR,MEM,MEM-NOTEBOOK,MEM-DDR5,Lexar,www.lexar.com,,"Limited Lifetime",,"Lexar LD5S16G56C46ST-BGS, SODIMM, DDR5 16GB(1x16GB), 5600MHz, CL46, 1.1V, Limited Lifetime Warranty 	",https://images.auscomp.au/uploads/images/II360595/full/0/01756270467.jpg
II360597,LD5U16G68C34LA-RGD,"LXR MEM 5-32GB-LD5U16G68C34LA-RGD",173.00,349,7,7,0,0,LXR,MEM,MEM-DESKTOP,MEM-DDR5,Lexar,https://www.lexar.com,https://www.lexar.com/product/lexar-ares-rgb-ddr5-desktop-memory-2/,"Limited Lifetime",,"Lexar LD5U16G68C34LA-RGD, Ares RGB with Heatsink, UDIMM, DDR5 32GB(2x16GB), 6800MHz, CL34, 1.4V, Black, Limited Lifetime Warranty 	",https://images.auscomp.au/uploads/images/II360597/full/1710735852.jpg
II360598,LD5U16G72C34LA-RGD,"LXR MEM 5-32GB-LD5U16G72C34LA-RGD",178.00,259,18,18,0,0,LXR,MEM,MEM-DESKTOP,MEM-DDR5,Lexar,https://www.lexar.com,https://www.lexar.com/product/lexar-ares-rgb-ddr5-desktop-memory-2/,"Limited Lifetime",,"Lexar LD5U16G72C34LA-RGD, Ares RGB with Heatsink, UDIMM, DDR5 32GB(2x16GB), 7200MHz, CL34, 1.4V, Limited Lifetime Warranty ",https://images.auscomp.au/uploads/images/II360598/full/1705558790.jpg
II360670,580-AJNS,"DEL KBD KM5221W-580-AJNS-WLS-COMBO",43.00,67.27,10,10,0,0,DEL,KBD,KBD-WIRELESS,KBD-COMBO,Dell,www.dell.com,,"1 Year ",,"Dell 580-AJNS, KM5221W Pro Wireless Keyboard and Mouse Combo, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360670/thumbs/250/01068778515.jpg
II360712,90049355,"CRT SPK PEBBLE-V3-BLACK",45.50,65.78,2,2,0,0,CRT,SPK,SPK-2.0,#,Creative,www.creative.com,https://india-creative.com/product/creative-pebble-v3-minimalistic-2-0-usb-c-powered-desktop-speakers-with-bt-5-0-amplified-audio-8w-rms-with-16w-peak-power-clear-dialog-aux-in/,"1 Year ",,"Creative 90049355, Labs Pebble V3 Minimalistic 2.0 Speaker, Bluetooth, USB-C, Black, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360712/full/1706075720.jpg
II360714,PS-SPD-0650MNFABA-3,"THM PSU 650W-SMART-BM3-80-PLUS-BRONZE",103.00,157.3,1,0,1,0,THM,PSU,PSU-ATX,PSU-650W,Thermaltake,https://www.thermaltake.com,,"5 Year",,"Thermaltake PS-SPD-0650MNFABA-3, Smart BM3, 650W, 80 Plus Bronze, Semi-Modular, Fan: 120mm, ATX, MTBF: 100,000 Hours, 5 Year Warranty	",https://images.auscomp.au/uploads/images/II360714/full/0/01706082846.jpg
II360720,SM-X210NZAEXSA,"SAM TAB GALAXY-A9+-SM-X210NZAEXSA",372.00,435.45,4,4,0,0,SAM,TAB,TABLET,#,Samsung,www.samsung.com,,"2 Year ",,"Samsung SM-X210NZAEXSA, Galaxy Tab A9 Plus, 11"" TFT, 8GB RAM, 128GB Storage, 5MP Front Camera, 8MP Rear Camera, Wireless AC+Bluetooth, Graphite, 2 Year Warranty	",https://images.auscomp.au/uploads/images/II360720/full/1706147554.jpg
II360732,EAP773,"TPL LAN EAP773",405.00,483.52,2,2,0,0,TPL,LAN,LAN-ACCESSPOINT,#,TP-Link,https://www.tp-link.com,https://www.tp-link.com/my/business-networking/omada-sdn-access-point/eap773,"5 Year ",,"TP-Link EAP773, BE11000 Ceiling Mount Tri-Band Wi-Fi 7 Access Point, 1xGbE Port, MU-MIMO, OFDMA, OMADA, WirelessAX+Bluetooth, 5 Year Warranty ",https://images.auscomp.au/uploads/images/II360732/full/1706167151.jpg
II360753,"PRO MP273A","MSI LCD 27-PRO-MP273A",123.00,189,1,1,0,0,MSI,LCD,LCD-27,LCD-MONITORS,MSI,https://www.msi.com,https://www.msi.com/Business-Productivity-Monitor/PRO-MP273A/Specification,"3 Year",,"*Price Vaild Till 2nd NOV 2025* MSI PRO MP273A, 27"" IPS, 1920x1080, 16:9, 1ms, 100Hz, Adaptive-Sync, 1xHDMI, 1xDP, 1xD-Sub, Speakers, VESA, Tilt, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360753/full/1706686922.jpg
II360782,ST18000NT001,"SGT HDD SATA-18TB-ST18000NT001",640.00,1499,6,6,0,0,SGT,HDD,HDD-3.5,HDD-ENT,Seagate,https://www.seagate.com,https://www.seagate.com/files/www-content/datasheets/pdfs/ironwolf-pro-20tb-DS1914-21-2206GB-en_GB.pdf,"5 Year",,"Seagate ST18000NT001, IronWolf Pro, 18TB, 3.5"", SATA 6Gb/s, 7200RPM, 256MB Cache, 5 Year Warranty",https://images.auscomp.au/uploads/images/II360782/full/1706598587.jpg
II360786,SM-X216BZAAATS,"SAM TAB GALAXY-A9+-SM-X216BZAAATS",424.00,480.91,3,3,0,0,SAM,TAB,TABLET,,Samsung,https://www.samsung.com,https://www.samsung.com/au/tablets/galaxy-tab-a/galaxy-tab-a9-plus-5g-graphite-64gb-sm-x216bzaaats/buy/,"2 Year",,"Samsung SM-X216BZAAATS, Galaxy Tab A9+, 10.5"" TFT, 4GB RAM, 64GB Storage, 5MP Front Camera, 8MP Rear Camera, 5G, Wireless AC+Bluetooth, Graphite, 2 Year Warranty",https://images.auscomp.au/uploads/images/II360786/full/1707177210.jpg
II360798,100-100001488BOX,"AMD CPU RYZEN5-5600GT",179.75,257.4,6,6,0,0,AMD,CPU,SKT-AM4,,AMD,https://amd.com,https://amd.com/en/products/apu/amd-ryzen-5-5600gt,"3 Year ",,"AMD 100-100001488BOX, Ryzen 5-5600GT, AM4 Socket, 6 Core, 12 Threads, Base: 3.6GHz, Turbo: 4.6GHz, 19MB Cache, TDP: 65W, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360798/full/1707198339.jpg
II360816,100-100001489BOX,"AMD CPU RYZEN5-5500GT",162.50,286,9,9,0,0,AMD,CPU,SKT-AM4,,AMD,https://www.amd.com,https://www.amd.com/en/products/apu/amd-ryzen-5-5500gt,"3 Year ",,"AMD 100-100001489BOX, Ryzen 5-5500GT, AM4 Socket, 6 Core, 12 Threads, Base: 3.6GHz, Turbo Speed: 4.4GHz, 19MB Cache, TDP: 65W, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360816/thumbs/250/0100-100001489BOX.jpg
II360824,100-100001236BOX,"AMD CPU RYZEN7-8700G",415.00,805.2,2,2,0,0,AMD,CPU,SKT-AM5,,AMD,https://www.amd.com,https://www.amd.com/en/products/apu/amd-ryzen-7-8700g,"3 Year ",,"AMD 100-100001236BOX, Ryzen 7-8700G, AM5 Socket, 8 Core, 16 Threads, Base: 3.8GHz, Turbo: 5.1GHz, 24MB Cache, TDP: 65W, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360824/full/19-113-811-03.jpg
II360825,100-100001237BOX,"AMD CPU RYZEN5-8600G",292.00,421.85,3,3,0,0,AMD,CPU,SKT-AM5,#,AMD,https://www.amd.com,https://www.amd.com/en/products/apu/amd-ryzen-5-8600g,"3 Year ",,"AMD 100-100001237BOX, Ryzen 5-8600G, AM5 Socket, 6 Core, 12 Threads, Base: 4.3GHz, Turbo: 5.0GHz, 24MB Cache, TDP: 65W, 3 Year Warranty",https://images.auscomp.au/uploads/images/II360825/full/1707198150.jpg
II360835,AR-HDMI-4K-1,"ARK CAB HDMI-W-ETHERNET-4K-1M",6.50,10.73,1,1,0,0,ARK,CAB,CAB-HDMI,,Arkin,www.arkin.com,,,,"Arkin AR-HDMI-4K-1, HDMI 2.0 Cable with Ethernet, Male to Male, Speed: 18Gb/s, Length: 1m, Black, 1 Year Warranty ",https://images.auscomp.au/uploads/images/II360835/full/1707200479.jpg
